```csv
nome,idade,massa corporal,sexo
Ana Silva,23,58.5,F
Carlos Oliveira,34,82.1,M
Beatriz Santos,29,65.0,F
Diego Pereira,45,90.5,M
Elena Costa,22,55.2,F
Felipe Rodrigues,31,75.8,M
Gabriela Lima,27,60.3,F
Hugo Almeida,38,88.4,M
Isabela Martins,24,57.9,F
João Ferreira,42,95.0,M
Karina Souza,26,63.5,F
Lucas Ribeiro,33,79.2,M
Mariana Gomes,28,61.8,F
Nicolas Cardoso,36,85.6,M
Olivia Nascimento,21,54.0,F
Pedro Henrique,40,92.3,M
Quinn Barbosa,25,59.7,F
Rafael Dias,35,81.5,M
Sofia Araújo,30,64.2,F
Thiago Castro,44,89.1,M
Uma Vieira,23,56.4,F
Victor Ramos,32,77.9,M
Wagner Pinto,39,86.7,M
Xavier Melo,29,73.5,M
Yasmin Correia,24,58.1,F
Zeca Nunes,41,91.2,M
Amanda Rocha,27,62.9,F
Bruno Teixeira,34,83.4,M
Camila Moraes,26,59.5,F
Daniel Freitas,37,87.8,M
Eduarda Lopes,22,53.7,F
Fabio Carvalho,43,94.6,M
Giovana Azevedo,28,66.1,F
Henrique Duarte,31,76.3,M
Irene Machado,35,68.4,F
Jorge Cunha,46,96.2,M
Kelly Mendes,25,60.8,F
Leonardo Borges,33,80.5,M
Monica Santana,30,63.2,F
Nelson Rezende,38,84.9,M
Otavia Campos,24,55.6,F
Paulo Xavier,42,93.1,M
Queila Dias,29,61.4,F
Ricardo Alves,36,82.7,M
Sabrina Monteiro,27,59.2,F
Tatiane Soares,32,64.8,F
Ulisses Fonseca,40,88.9,M
Vanessa Cruz,26,57.3,F
Wellington Pinto,35,78.6,M
Yasmin Torres,23,56.9,F
```
